id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_year,instrumentalness,speechiness,duration_sec
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,82,2025,0.02,0.06,204
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,61,2022,0.68,0.04,192
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,74,2020,0.05,0.07,238
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,48,2021,0.82,0.03,181
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,79,2024,0.01,0.08,216
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,37,2019,0.95,0.02,286
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,44,2017,0.63,0.04,259
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,67,2023,0.54,0.05,232
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,55,2024,0.76,0.03,205
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,71,2022,0.04,0.07,221
11,Velvet Sunrise,Amara Lane,r&b,romantic,0.55,94,0.78,0.68,0.42,63,2020,0.03,0.13,247
12,Cathedral Air,North Chamber,classical,calm,0.18,58,0.52,0.20,0.96,35,2015,0.99,0.01,312
13,Corner Cipher,Metro Verse,hip hop,confident,0.84,98,0.73,0.86,0.08,76,2025,0.01,0.41,198
14,Neon Pulse,Kairo Flux,edm,euphoric,0.97,138,0.88,0.93,0.04,88,2026,0.31,0.04,201
15,Old Polaroid,Mira June,acoustic,reflective,0.31,76,0.57,0.46,0.95,42,2018,0.12,0.05,229
16,Salsa Skyline,Luna Mercado,latin,energetic,0.87,126,0.91,0.94,0.12,73,2023,0.02,0.09,213
17,Blue Hour Train,Delta Rowan,blues,melancholy,0.44,82,0.35,0.39,0.81,39,2016,0.28,0.06,274
